query_id,doc_id,bm25_score,relevance
401,FBIS3-18024,22.900045,0
401,FBIS3-38236,21.318064,0
401,FBIS3-30362,20.520298,0
401,FBIS3-17498,18.809647,0
401,FBIS4-65434,18.728884,0
401,FBIS4-32230,18.613098,0
401,FBIS3-26069,18.588926,0
401,FBIS4-64853,18.534145,0
401,FBIS3-42013,18.508453,0
401,FBIS3-27371,18.248793,0
401,FBIS4-55036,18.084223,0
401,FBIS3-27340,17.817507,0
401,FBIS3-55690,17.764261,0
401,FBIS3-45308,17.31035,0
401,FBIS4-32464,17.251637,0
401,FBIS4-53715,17.123125,0
401,FBIS3-9025,17.069506,0
401,FBIS3-20188,16.985617,0
401,FBIS3-59055,16.979797,0
401,FBIS4-19524,16.976297,0
401,FBIS3-39240,16.9575,0
401,FBIS4-8586,16.89521,0
401,FBIS3-30705,16.762537,0
401,FBIS4-43868,16.733566,0
401,FBIS3-58523,16.678553,0
401,FBIS3-49360,16.641354,0
401,FBIS3-56189,16.552904,0
401,FBIS4-49181,16.44288,0
401,FBIS4-62200,16.403929,0
401,FBIS3-38976,16.296272,0
401,FBIS4-40299,16.29011,0
401,FBIS4-42133,16.225801,0
401,FBIS3-29467,16.07803,0
401,FBIS3-54488,16.033583,0
401,FBIS4-55123,16.001682,0
401,FBIS4-54206,15.990855,0
401,FBIS3-44622,15.971764,0
401,FBIS3-50680,15.902377,0
401,FBIS4-7646,15.900928,0
401,FBIS4-11261,15.849833,0
401,FBIS3-60813,15.781058,0
401,FBIS4-55384,15.661258,0
401,LA070789-0025,15.6580105,0
401,FBIS4-62306,15.646805,0
401,FBIS3-36704,15.594797,0
401,LA030489-0031,15.593302,0
401,FBIS3-4201,15.573382,0
401,FBIS3-27513,15.497215,0
401,FBIS4-33985,15.482179,0
401,FBIS4-51651,15.451793,0
401,FBIS4-24825,15.440113,0
401,FBIS3-8422,15.377728,0
401,FBIS4-18398,15.267891,0
401,FBIS4-62149,15.213467,0
401,FBIS3-56245,15.212284,0
401,FBIS4-14793,15.155531,0
401,FBIS3-49662,15.137144,0
401,FBIS3-49633,15.118957,0
401,FBIS3-49716,15.117086,0
401,FBIS4-16234,15.092099,0
401,FBIS4-65064,15.087971,0
401,FBIS4-18182,15.05195,0
401,FBIS3-46030,15.019515,0
401,FBIS3-46172,14.972153,0
401,FBIS3-41103,14.972153,0
401,FBIS3-46049,14.967242,0
401,FBIS4-55638,14.963794,0
401,FBIS3-39302,14.962694,0
401,FBIS3-58627,14.95765,0
401,FBIS3-45516,14.914907,0
401,FBIS4-63049,14.900581,0
401,FBIS3-17460,14.8852,0
401,FBIS4-43888,14.8539915,0
401,FBIS3-55398,14.830961,0
401,FBIS3-48415,14.770103,0
401,FBIS3-36471,14.765776,0
401,FBIS3-49532,14.75761,0
401,FBIS3-19458,14.74061,0
401,FBIS4-8580,14.738328,0
401,FBIS3-51651,14.71494,0
401,LA111790-0026,14.709791,0
401,LA032890-0097,14.678052,0
401,LA091390-0268,14.672894,0
401,FBIS4-31230,14.667236,0
401,FBIS4-53787,14.661503,0
401,FBIS4-64883,14.650288,0
401,FBIS3-36719,14.616507,0
401,FBIS3-55612,14.604379,0
401,FBIS3-38290,14.599742,0
401,FBIS3-10009,14.560986,0
401,FBIS4-17749,14.541956,0
401,FBIS4-1723,14.528307,0
401,LA091490-0080,14.494806,0
401,FBIS4-5644,14.461769,0
401,FBIS3-55935,14.447842,0
401,FBIS3-15388,14.445311,0
401,LA030890-0165,14.441322,0
401,FBIS3-22658,14.438768,0
401,FBIS3-20890,14.438768,0
401,LA120789-0157,14.434947,0
401,FBIS4-55688,14.392841,0
401,LA011589-0050,14.389227,0
401,FBIS4-32592,14.362766,0
401,FBIS3-19309,14.356303,0
401,FBIS4-8441,14.2662525,0
401,FBIS4-9057,14.265361,0
401,FBIS3-36830,14.263614,0
401,FBIS3-17077,14.246323,0
401,FBIS3-21428,14.234684,0
401,FBIS3-38677,14.22993,0
401,FBIS4-3544,14.191724,0
401,FBIS4-2444,14.168244,0
401,LA072190-0060,14.156646,0
401,FBIS3-31832,14.14842,0
401,FBIS3-10751,14.1160555,0
401,FBIS3-45046,14.109763,0
401,FBIS3-46978,14.108581,0
401,LA122189-0023,14.092694,0
401,LA111089-0142,14.087021,0
401,FBIS3-39522,14.065956,0
401,LA021289-0050,14.038983,0
401,FBIS3-49205,14.032959,0
401,FBIS3-20090,14.0305,0
401,FBIS3-11885,14.021769,0
401,FBIS3-16536,14.015352,0
401,FBIS4-49375,14.01428,0
401,FBIS4-65175,14.003689,0
401,FBIS4-18688,14.003113,0
401,FBIS4-48603,13.997738,0
401,FBIS3-12972,13.970133,0
401,FBIS4-42750,13.955767,0
401,FBIS3-55110,13.954034,0
401,FBIS3-37285,13.942926,0
401,FBIS4-61141,13.920897,0
401,FBIS3-26362,13.91681,0
401,FBIS3-57944,13.905309,0
401,FBIS3-59436,13.873359,0
401,FBIS4-16605,13.856738,0
401,FBIS4-15285,13.844859,0
401,FBIS3-20329,13.824795,0
401,FBIS4-15457,13.823706,0
401,FBIS3-57960,13.818546,0
401,FBIS3-32990,13.803349,0
401,LA060490-0050,13.791009,0
401,LA012189-0043,13.783883,0
401,LA090890-0047,13.775394,0
401,FBIS4-31881,13.769489,0
401,LA122490-0108,13.7548685,0
401,FBIS4-9437,13.741345,0
401,LA052390-0064,13.741254,0
401,FBIS3-43785,13.740117,0
401,FBIS3-37808,13.738375,0
401,FBIS3-11221,13.728138,0
401,LA121489-0181,13.7207,0
401,FBIS3-37838,13.714593,0
401,FBIS4-26059,13.696061,0
401,FBIS3-8092,13.69406,0
401,LA111889-0168,13.685693,0
401,LA053190-0071,13.673767,0
401,FBIS4-8022,13.669372,0
401,LA101289-0027,13.664507,0
401,FBIS4-39850,13.657346,0
401,FBIS4-34124,13.644534,0
401,FBIS3-18724,13.604967,0
401,FBIS3-58007,13.603433,0
401,FBIS3-58037,13.603433,0
401,FBIS3-8505,13.594797,0
401,FBIS3-18916,13.588461,0
401,LA060990-0020,13.586345,0
401,FBIS3-20175,13.578341,0
401,FBIS4-10777,13.571418,0
401,FBIS4-40113,13.567938,0
401,FBIS4-30775,13.547243,0
401,FBIS3-5357,13.536393,0
401,FBIS3-30236,13.512999,0
401,FBIS3-49923,13.474796,0
401,FBIS3-36689,13.472618,0
401,FBIS4-24702,13.471763,0
401,FBIS3-18410,13.467058,0
401,FBIS3-2043,13.461522,0
401,FBIS4-40035,13.458157,0
401,FBIS3-41386,13.454693,0
401,FBIS3-39554,13.454693,0
401,FBIS3-21590,13.448074,0
401,FBIS3-39889,13.438648,0
401,FBIS3-42872,13.428744,0
401,FBIS4-10342,13.409204,0
401,FBIS3-56998,13.400105,0
401,FBIS3-2837,13.379581,0
401,LA041290-0004,13.377607,0
401,LA032390-0074,13.375748,0
401,FBIS4-61476,13.373753,0
401,FBIS3-42964,13.371521,0
401,FBIS3-30233,13.370722,0
401,FBIS4-34223,13.36373,0
401,FBIS4-9475,13.36329,0
401,LA081089-0099,13.352952,0
401,FBIS3-9114,13.344847,0
401,FBIS3-18490,13.338473,0
401,FBIS4-44752,13.325575,0
401,FBIS4-8682,13.306801,0
401,FBIS4-57935,13.299611,0
401,FBIS3-30408,13.268589,0
401,FBIS4-61690,13.258368,0
401,FBIS3-29410,13.251209,0
401,FBIS3-56822,13.246689,0
401,FBIS4-43047,13.231648,0
401,FBIS4-34328,13.228061,0
401,FBIS3-10502,13.227828,0
401,FBIS4-9008,13.223073,0
401,FBIS4-34923,13.2182665,0
401,FBIS3-8999,13.216911,0
401,FBIS3-9465,13.176266,0
401,LA082589-0130,13.15862,0
401,LA022490-0167,13.152736,0
401,FBIS4-34137,13.14404,0
401,FBIS3-46076,13.123001,0
401,LA090790-0122,13.099243,0
401,FBIS3-32470,13.092233,0
401,FBIS4-17077,13.085983,0
401,LA033190-0072,13.0784855,0
401,FBIS4-42317,13.063498,0
401,FBIS4-24249,13.059322,0
401,LA031790-0078,13.05557,0
401,FBIS3-47853,13.04899,0
401,FBIS3-39218,13.042606,0
401,FBIS4-65538,13.033218,0
401,FBIS4-31486,13.025189,0
401,FBIS3-33002,13.021828,0
401,LA102690-0021,13.01792,0
401,FBIS4-19989,13.015884,0
401,FBIS3-36123,13.010872,0
401,FBIS3-27226,13.009375,0
401,LA121590-0058,12.996766,0
401,FBIS4-14606,12.991201,0
401,FBIS4-33075,12.98096,0
401,FBIS3-34121,12.975579,0
401,FBIS3-28082,12.970149,0
401,FBIS3-42139,12.970149,0
401,FBIS3-19893,12.963316,0
401,FBIS4-53980,12.953692,0
401,FBIS3-31227,12.953537,0
401,FBIS3-15882,12.947765,0
401,FBIS3-22892,12.947765,0
401,FBIS4-31704,12.945084,0
401,FBIS4-42388,12.9254,0
401,FBIS4-26946,12.919288,0
401,FBIS4-19134,12.916533,0
401,FBIS3-35793,12.900839,0
401,FBIS4-32276,12.900703,0
401,FBIS3-30234,12.887123,0
401,FBIS4-8587,12.882933,0
401,FBIS4-55444,12.871435,0
401,FBIS4-62151,12.870691,0
401,FBIS3-15098,12.867331,0
401,FBIS3-39366,12.859515,0
401,FBIS3-8372,12.854059,0
401,FBIS3-46356,12.837616,0
401,FBIS3-46775,12.83169,0
401,FBIS3-56144,12.831627,0
401,FBIS4-3680,12.827439,0
401,FBIS4-18593,12.817188,0
401,FBIS4-55093,12.816954,0
401,FBIS3-45236,12.813979,0
401,FBIS3-20360,12.805576,0
401,LA012890-0150,12.804917,0
401,FBIS3-20099,12.799807,0
401,FBIS3-55248,12.796829,0
401,LA053190-0100,12.792894,0
401,LA070189-0014,12.785495,0
401,FBIS3-19645,12.780338,0
401,FBIS3-44516,12.7756815,0
401,LA060990-0060,12.763161,0
401,FBIS4-63022,12.760883,0
401,FBIS4-17641,12.748141,0
401,FBIS3-18833,12.745544,0
401,FBIS4-15425,12.744521,0
401,FBIS4-47083,12.743154,0
401,FBIS4-25158,12.742883,0
401,FBIS4-16556,12.73765,0
401,LA081889-0063,12.735513,0
401,FBIS4-18295,12.724924,0
401,FBIS3-31228,12.724261,0
401,FBIS3-36960,12.722921,0
401,FBIS4-17431,12.717469,0
401,FBIS4-17117,12.715585,0
